segment_uid,Corridor_Name,Placement_Type,Shapefile_Name,Sequence_Order,Original_Shapefile_Row,Segment_Length_Meters,Start_Lat,Start_Lon,End_Lat,End_Lon,Midpoint_Lat,Midpoint_Lon,network_layer_type,nearest_signal_dist_meters,nearest_bus_stop_dist_meters,Google_Maps_Origin,Google_Maps_Destination,Google_Maps_Midpoint,Polyline_Geometry_String,Topology_Flipped_To_Fit,Continuity_Status,Validation_Checkpoint,attr_id,attr_Length,attr_Corridor,attr_S.no
KILAMBAKKAM_LITTLEMOUNT_002,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,2,27,638.08,12.88537844,80.08256743,12.89071807,80.08479185,12.8880432,80.08369124,At-Grade (Ground),13717.63,13036.06,"12.88537844075999,80.08256742827867","12.890718072826665,80.08479185128485","12.888043202665523,80.08369123974148","12.88537844075999,80.08256742827867|12.88544,80.08259|12.88586,80.08276|12.88601,80.08282|12.88607,80.08285|12.88614,80.08288|12.88646,80.08301|12.88773,80.08357|12.88866,80.08393|12.8888,80.08399|12.88921,80.08416|12.89032,80.08462|12.89067,80.08477|12.890718072826665,80.08479185128485",FALSE,Continuous,Intermediate,,0.64,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_003,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,3,14,634.98,12.89071807,80.08479185,12.89550044,80.08798783,12.89319035,80.08625578,At-Grade (Ground),13106.51,12597.03,"12.890718072826665,80.08479185128485","12.895500443561847,80.08798783267139","12.893190346662598,80.0862557802268","12.890718072826665,80.08479185128485|12.89078,80.08482|12.89116,80.08499|12.89144,80.0851|12.89167,80.08522|12.89194,80.08537|12.89208,80.08546|12.89244,80.0857|12.89265,80.08585|12.89266,80.08586|12.89278,80.08593|12.89313,80.08621|12.89342,80.08643|12.89409,80.08693|12.89481,80.08749|12.89537,80.08789|12.895500443561847,80.08798783267139",FALSE,Continuous,Intermediate,,0.64,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_004,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,4,15,1006.83,12.89550044,80.08798783,12.90281591,80.09350979,12.89916872,80.09073506,At-Grade (Ground),12289.83,11951.02,"12.895500443561847,80.08798783267139","12.902815905431229,80.09350979358813","12.89916872083633,80.09073505778676","12.895500443561847,80.08798783267139|12.89601,80.08837|12.89729,80.08935|12.89794,80.08983|12.89999,80.09134|12.90242,80.09321|12.90254,80.09331|12.902815905431229,80.09350979358813",FALSE,Continuous,Intermediate,,1.01,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_005,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,5,16,937.98,12.90281591,80.09350979,12.90935688,80.09894338,12.90615709,80.09614631,At-Grade (Ground),11323.04,11206.21,"12.902815905431229,80.09350979358813","12.909356880574276,80.09894338206075","12.906157094946005,80.09614631068118","12.902815905431229,80.09350979358813|12.90283,80.09352|12.90286,80.0936|12.90288,80.09363|12.9029,80.09365|12.90293,80.09368|12.90301,80.09376|12.9031,80.09384|12.90375,80.09433|12.9042,80.09465|12.90524,80.09547|12.90533,80.09554|12.90541,80.09559|12.906,80.09603|12.90704,80.0968|12.90792,80.09746|12.90815,80.09763|12.90836,80.09781|12.90863,80.09806|12.90876,80.0982|12.90889,80.09836|12.90907,80.09858|12.909356880574276,80.09894338206075",FALSE,Continuous,Intermediate,,0.94,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_006,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,6,17,1374.78,12.90935688,80.09894338,12.91705641,80.10711374,12.91438767,80.10169484,At-Grade (Ground),10246.69,10465.8,"12.909356880574276,80.09894338206075","12.917056410023678,80.10711373576503","12.914387668916634,80.10169483838513","12.909356880574276,80.09894338206075|12.90937,80.09896|12.90951,80.09917|12.90971,80.09947|12.91001,80.09998|12.91013,80.1002|12.9102,80.10032|12.91026,80.10042|12.91033,80.10051|12.9104,80.1006|12.91048,80.10069|12.91062,80.10085|12.91067,80.10089|12.91089,80.10107|12.911,80.10117|12.91108,80.10122|12.91113,80.10126|12.91117,80.10128|12.91121,80.1013|12.91127,80.10133|12.9113,80.10134|12.91138,80.10137|12.91145,80.10139|12.91153,80.10139|12.91174,80.10141|12.91189,80.10143|12.91211,80.10145|12.91233,80.10148|12.91252,80.10149|12.91264,80.10149|12.91281,80.10148|12.91292,80.10148|12.91298,80.10148|12.9131,80.10147|12.91321,80.10148|12.91384,80.1015|12.91387,80.10153|12.9139,80.10155|12.91395,80.10157|12.91398,80.10158|12.91408,80.10162|12.91445,80.10171|12.91463,80.10179|12.91474,80.10184|12.91487,80.10193|12.91502,80.10205|12.91515,80.10219|12.91528,80.10235|12.91533,80.10243|12.9154,80.10254|12.91546,80.10266|12.91552,80.10282|12.91554,80.10287|12.9156,80.10306|12.91572,80.10401|12.91576,80.10421|12.91576,80.10424|12.91576,80.10425|12.91577,80.10432|12.91581,80.10454|12.91585,80.10471|12.91588,80.10485|12.91592,80.10498|12.91598,80.10511|12.91603,80.10521|12.91622,80.10556|12.91637,80.10583|12.9165,80.10608|12.91663,80.10632|12.91676,80.10656|12.91693,80.10686|12.91704,80.10708|12.91705,80.1071|12.917056410023678,80.10711373576503",FALSE,Continuous,Intermediate,,1.38,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_007,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,7,23,667.28,12.91705641,80.10711374,12.92087534,80.11185798,12.91889134,80.10954267,At-Grade (Ground),9303.5,9567.36,"12.917056410023678,80.10711373576503","12.920875339066159,80.11185798342545","12.918891336072436,80.10954266992398","12.917056410023678,80.10711373576503|12.91712,80.10725|12.9172,80.10737|12.91726,80.10748|12.9174,80.1077|12.91746,80.10778|12.91762,80.10798|12.91771,80.1081|12.91784,80.10825|12.91819,80.1087|12.91839,80.10895|12.91862,80.10922|12.91899,80.10966|12.91964,80.11047|12.91979,80.11067|12.91985,80.11074|12.92007,80.11101|12.92043,80.11139|12.920875339066159,80.11185798342545",FALSE,Continuous,Intermediate,,0.67,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_008,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,8,18,900.5,12.92087534,80.11185798,12.92664096,80.11771624,12.92373744,80.11480744,At-Grade (Ground),8523.55,8966.97,"12.920875339066159,80.11185798342545","12.926640964126939,80.11771623591943","12.923737435063225,80.11480743506323","12.920875339066159,80.11185798342545|12.92102,80.11201|12.92121,80.11222|12.92131,80.11232|12.92209,80.11316|12.92286,80.11393|12.92318,80.11424|12.92341,80.11448|12.92451,80.11558|12.92494,80.11603|12.92524,80.11634|12.92642,80.1175|12.92649,80.11758|12.926640964126939,80.11771623591943",FALSE,Continuous,Intermediate,,0.9,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_009,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,9,19,520.41,12.92664096,80.11771624,12.93001533,80.1210555,12.92830151,80.11941151,At-Grade (Ground),7814.77,8370.51,"12.926640964126939,80.11771623591943","12.930015329560831,80.12105549939498","12.928301507761553,80.11941150776155","12.926640964126939,80.11771623591943|12.9269,80.11795|12.92704,80.11809|12.92728,80.11838|12.92817,80.11928|12.9285,80.11961|12.92892,80.12002|12.92928,80.12035|12.92947,80.12053|12.930015329560831,80.12105549939498",FALSE,Continuous,Intermediate,,0.52,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_010,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,10,0,1138.86,12.93001533,80.1210555,12.93751055,80.12823911,12.9336615,80.1247515,At-Grade (Ground),6987.47,7559.29,"12.930015329560831,80.12105549939498","12.937510551926401,80.12823911302735","12.933661499839735,80.12475149983973","12.930015329560831,80.12105549939498|12.93002,80.12106|12.93015,80.12121|12.93029,80.12135|12.93076,80.12188|12.9318,80.12294|12.9321,80.1232|12.93231,80.12338|12.93276,80.12381|12.93335,80.12444|12.93377,80.12486|12.9341,80.12519|12.93443,80.12551|12.93446,80.12554|12.93477,80.12581|12.93515,80.12616|12.93554,80.1265|12.93604,80.12695|12.93615,80.12704|12.93661,80.12746|12.93674,80.12758|12.93688,80.1277|12.93732,80.12808|12.9375,80.12823|12.937510551926401,80.12823911302735",FALSE,Continuous,Intermediate,,1.14,,
KILAMBAKKAM_LITTLEMOUNT_011,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,11,1,773.03,12.93751055,80.12823911,12.94259708,80.1331196,12.94013049,80.13059878,At-Grade (Ground),6031.46,6641.58,"12.937510551926401,80.12823911302735","12.942597076991547,80.13311959578145","12.940130489196745,80.13059878192767","12.937510551926401,80.12823911302735|12.93772,80.12842|12.93807,80.12872|12.93875,80.12932|12.93989,80.13035|12.94018,80.13065|12.94056,80.13103|12.94064,80.13111|12.94156,80.13207|12.94163,80.13214|12.94257,80.13309|12.942597076991547,80.13311959578145",FALSE,Continuous,Intermediate,,0.77,,
KILAMBAKKAM_LITTLEMOUNT_012,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,12,24,1119.34,12.94259708,80.1331196,12.95052305,80.13950152,12.94647109,80.13641728,At-Grade (Ground),5088.37,5745.92,"12.942597076991547,80.13311959578145","12.950523054840765,80.13950151785139","12.946471087274162,80.13641728285828","12.942597076991547,80.13311959578145|12.943,80.13356|12.94314,80.1337|12.94328,80.13384|12.94346,80.13402|12.94351,80.13407|12.94355,80.13411|12.94376,80.13431|12.94406,80.13455|12.94416,80.13463|12.94438,80.1348|12.94459,80.13495|12.94636,80.13633|12.94678,80.13666|12.94686,80.13673|12.9469,80.13676|12.94691,80.13677|12.94702,80.13685|12.94717,80.13695|12.94718,80.13696|12.94754,80.13718|12.94808,80.13757|12.94833,80.13775|12.94853,80.13789|12.94908,80.13829|12.9495,80.13865|12.94975,80.13886|12.95003,80.13911|12.9505,80.13948|12.950523054840765,80.13950151785139",FALSE,Continuous,Intermediate,,1.12,Kilambakkam-Littlemount,
KILAMBAKKAM_LITTLEMOUNT_013,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,13,2,314.84,12.95052305,80.13950152,12.95279199,80.14124999,12.95165599,80.14037816,At-Grade (Ground),4373.26,5104.86,"12.950523054840765,80.13950151785139","12.95279198841002,80.14124999172145","12.951655985408468,80.14037816366297","12.950523054840765,80.13950151785139|12.95065,80.13962|12.95084,80.13976|12.95121,80.14003|12.95146,80.14022|12.95203,80.14068|12.9521,80.14072|12.95234,80.1409|12.95245,80.141|12.95261,80.14112|12.95279198841002,80.14124999172145",FALSE,Continuous,Intermediate,,0.31,,
KILAMBAKKAM_LITTLEMOUNT_014,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,14,3,661.86,12.95279199,80.14124999,12.95807958,80.14409726,12.95542304,80.14269609,At-Grade (Ground),3894.35,4709.37,"12.95279198841002,80.14124999172145","12.958079578979953,80.14409726317622","12.955423038373187,80.14269609226271","12.95279198841002,80.14124999172145|12.95282,80.14127|12.95299,80.14138|12.9532,80.14152|12.95357,80.14172|12.95378,80.14183|12.954,80.14195|12.95412,80.14202|12.95423,80.14207|12.95429,80.1421|12.95449,80.14222|12.95492,80.14244|12.95547,80.14272|12.95564,80.1428|12.95577,80.14288|12.95587,80.14293|12.95614,80.14308|12.95627,80.14316|12.95661,80.14333|12.95701,80.14354|12.95711,80.14358|12.9576,80.14384|12.95796,80.14403|12.958079578979953,80.14409726317622",FALSE,Continuous,Intermediate,,0.66,,
KILAMBAKKAM_LITTLEMOUNT_015,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,15,28,885.5,12.95807958,80.14409726,12.96514218,80.1479329,12.96161814,80.14600162,At-Grade (Ground),3150.87,4154.95,"12.958079578979953,80.14409726317622","12.965142175974368,80.14793290129916","12.961618144417772,80.14600161517008","12.958079578979953,80.14409726317622|12.95812,80.14412|12.95824,80.14419|12.95885,80.14454|12.9591,80.14466|12.95926,80.14475|12.9594,80.14482|12.95956,80.1449|12.95972,80.14498|12.9602,80.14524|12.96028,80.14528|12.96036,80.14532|12.9605,80.1454|12.96092,80.1456|12.96099,80.14564|12.96124,80.14578|12.96128,80.14581|12.96188,80.14615|12.96217,80.1463|12.96355,80.14703|12.96362,80.14707|12.9637,80.14712|12.9638,80.14718|12.963959699824391,80.14726710899512|12.96402,80.1473|12.96436,80.14748|12.96453,80.14758|12.96465,80.14764|12.96478,80.14771|12.96495,80.1478|12.96514,80.14793|12.965142175974368,80.14793290129916",FALSE,Continuous,Intermediate,,0.89,,
KILAMBAKKAM_LITTLEMOUNT_016,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,16,5,1406.01,12.96514218,80.1479329,12.97497916,80.15547618,12.97089154,80.15072194,At-Grade (Ground),2099.41,3305.52,"12.965142175974368,80.14793290129916","12.97497915764559,80.1554761827089","12.970891540473044,80.15072193942706","12.965142175974368,80.14793290129916|12.96517,80.14797|12.9652,80.148|12.96522,80.14801|12.96525,80.14803|12.9653,80.14806|12.96536,80.14809|12.96546,80.14814|12.96561,80.14821|12.96576,80.14829|12.96599,80.14841|12.96619,80.14851|12.9664,80.14862|12.96672,80.14878|12.96694,80.14887|12.96728,80.14903|12.96737,80.14907|12.96751,80.14913|12.96758,80.14917|12.96784,80.14929|12.96801,80.14937|12.96807,80.14939|12.96813,80.14942|12.96847,80.14958|12.96866,80.14967|12.96885,80.14975|12.96917,80.14991|12.96939,80.15002|12.96957,80.1501|12.9696,80.15011|12.96963,80.15013|12.96967,80.15014|12.96973,80.15018|12.97015,80.15036|12.9703,80.15044|12.97046,80.15051|12.97052,80.15054|12.9707,80.15063|12.97095,80.15075|12.97111,80.15083|12.97113,80.15084|12.97144,80.15097|12.97149,80.151|12.97161,80.15105|12.97166,80.15108|12.97172,80.15111|12.97177,80.15114|12.97182,80.15117|12.97188,80.15121|12.97192,80.15124|12.97206,80.15134|12.97208,80.15136|12.97218,80.15144|12.97223,80.15149|12.9723,80.15155|12.97235,80.15161|12.97241,80.15168|12.97248,80.15176|12.97255,80.15186|12.97262,80.15195|12.9727,80.15206|12.97278,80.15219|12.97286,80.15231|12.97298,80.1525|12.97304,80.15259|12.97315,80.15275|12.97325,80.15291|12.97334,80.15305|12.97354,80.15334|12.97364,80.15349|12.97371,80.15361|12.97384,80.1538|12.97403,80.15408|12.97414,80.15425|12.97422,80.15436|12.97434,80.15456|12.97443,80.1547|12.97467,80.15506|12.9747,80.15511|12.97475,80.15518|12.97494,80.15542|12.97497915764559,80.1554761827089",FALSE,Continuous,Intermediate,,1.41,,
KILAMBAKKAM_LITTLEMOUNT_017,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,17,4,384.31,12.97497916,80.15547618,12.9769324,80.1584048,12.97597586,80.15692736,At-Grade (Ground),1229.24,2436.2,"12.97497915764559,80.1554761827089","12.9769323998535,80.158404799707","12.975975862646234,80.15692735715568","12.97497915764559,80.1554761827089|12.9754,80.15608|12.97559,80.15638|12.9757,80.15653|12.9758,80.15667|12.97586,80.15676|12.97613,80.15715|12.97652,80.15773|12.97664,80.15791|12.97684,80.15825|12.97692,80.15838|12.9769323998535,80.158404799707",FALSE,Continuous,Intermediate,,0.38,,
KILAMBAKKAM_LITTLEMOUNT_018,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,18,6,1746.56,12.9769324,80.1584048,12.9848275,80.17224296,12.98076569,80.16534376,At-Grade (Ground),173.95,1380.98,"12.9769323998535,80.158404799707","12.984827501799662,80.17224295699954","12.980765690553616,80.16534375678582","12.9769323998535,80.158404799707|12.97694,80.15842|12.97699,80.1585|12.97713,80.1587|12.97715,80.15872|12.97759,80.15938|12.97773,80.15959|12.97783,80.15972|12.97815,80.16017|12.97829,80.16036|12.97834,80.16043|12.9785,80.16066|12.97869,80.16091|12.97873,80.16095|12.97883,80.1611|12.9789,80.16119|12.97897,80.16129|12.97915,80.16155|12.9792,80.16161|12.97926,80.16169|12.97937,80.16186|12.97951,80.16205|12.97957,80.16215|12.97965,80.16227|12.97967,80.1623|12.97972,80.16238|12.97976,80.16246|12.97982,80.16256|12.97988,80.16269|12.97991,80.16274|12.97993,80.16279|12.97995,80.16285|12.97999,80.16295|12.98002,80.16303|12.98007,80.1632|12.9801,80.16329|12.98017,80.16356|12.9803,80.16404|12.98039,80.16436|12.98042,80.16446|12.98051,80.16471|12.98056,80.16487|12.98062,80.16502|12.98071,80.16522|12.9808,80.16542|12.98081,80.16543|12.98083,80.16548|12.98087,80.16556|12.9809,80.16561|12.98091,80.16562|12.981,80.16579|12.98109,80.16595|12.98111,80.16599|12.98119,80.16611|12.9813,80.16631|12.98134,80.16638|12.98149,80.16662|12.98152,80.16667|12.98158,80.16677|12.98168,80.16693|12.98175,80.16704|12.98194,80.16735|12.98206,80.16754|12.98214,80.16768|12.98215,80.16769|12.98224,80.16785|12.9825,80.16831|12.98272,80.16868|12.98281,80.16884|12.98291,80.169|12.98318,80.16948|12.98322,80.16954|12.98337,80.1698|12.98385,80.17063|12.98392,80.17075|12.98395,80.1708|12.98409,80.17104|12.98411,80.17107|12.98428,80.17136|12.98468,80.17204|12.98473,80.17211|12.984827501799662,80.17224295699954",FALSE,Continuous,Intermediate,,1.75,,
KILAMBAKKAM_LITTLEMOUNT_019,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,19,7,339.46,12.9848275,80.17224296,12.98661738,80.17478401,12.98572932,80.17350927,At-Grade (Ground),831.69,339.02,"12.984827501799662,80.17224295699954","12.986617377073433,80.17478401095968","12.98572932358752,80.17350926538677","12.984827501799662,80.17224295699954|12.98495,80.17241|12.98511,80.17264|12.98532,80.17294|12.98542,80.17308|12.98591,80.17376|12.98631,80.17433|12.98637,80.17443|12.98648,80.17461|12.986617377073433,80.17478401095968",FALSE,Continuous,Intermediate,,0.34,,
KILAMBAKKAM_LITTLEMOUNT_020,Corridor_Littlemount_Kilambakkam,Littlemount_Kilambakkam,Kilambakkam_Littlemount.shp,20,22,549,12.98661738,80.17478401,12.98952508,80.17888391,12.98804947,80.17685034,At-Grade (Ground),1275.57,108.42,"12.986617377073433,80.17478401095968","12.989525079469953,80.17888391408125","12.98804947463626,80.17685033563254","12.986617377073433,80.17478401095968|12.98663,80.1748|12.98716,80.17556|12.98745,80.17599|12.98757,80.17617|12.98831,80.17722|12.98869,80.1778|12.98915,80.17842|12.989525079469953,80.17888391408125",FALSE,Continuous,Intermediate,,0.55,Kilambakkam-Littlemount,
